Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Duong,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Khoảng giá
125.0,1.0,12.0,2.0,0.0,10.8488169758077,106.781668364468,19.05373796668013,17.683832649285492,,0,0,0,0,0,0,16.972434283658274,,,,2.0,11.958048906212335,2.5257286443082556
52.0,3.0,5.0,2.0,2.0,10.7869510672708,106.76362445578,38.64743434299875,23.397947453576915,,1,0,0,1,0,0,19.567814035088464,,,,7.0,6.937383359680418,2.151762203259462
90.0,5.0,3.0,2.0,0.0,10.7667055072752,106.683653709313,53.75818181811302,23.86464845032098,1877.5,1,1,1,1,0,0,25.12512339713014,96.83302263648469,0.0,3.1675099866844207,17.0,2.167957568771107,3.417726683613366
32.0,3.0,4.3,2.0,2.0,10.800263223944,106.690415332418,18.635920863560628,15.287451678785835,232.2,0,0,0,1,0,1,17.813042533379857,91.60637381567616,0.0,8.406546080964686,5.0,2.9395581824953405,1.9154509415706047
67.0,4.0,6.5,2.0,2.0,10.7605255950666,106.673150132616,24.737276401817315,20.91861042068099,7763.4,0,1,0,0,1,1,24.884687204378388,81.37890614936755,0.0,14.901074271582038,8.0,3.504638001634727,2.6390573296152584
57.0,4.0,6.0,2.0,2.0,10.8011714074988,106.695013381541,18.827244701348747,15.13057065447157,227.3,0,0,0,0,0,0,22.658378668788966,0.0,0.0,100.0,9.0,2.876809844727512,2.4832385926873033
92.0,2.0,5.3,2.0,0.0,10.8435512973653,106.634629907443,8.826587031047127,13.172074499147165,112.4,1,0,0,0,0,1,14.921728226832904,78.00711743772241,22.0373665480427,0.0,5.0,10.446430156391092,2.0001277349601105
100.0,4.0,5.0,2.0,0.0,10.7449929826099,106.715685722816,17.789285714287892,17.077921536042314,2636.1,0,1,0,1,1,0,17.005840922328282,60.42487007321422,39.57626797162475,0.0,8.0,3.798185852653578,2.5572273113676265
140.0,4.0,16.0,2.0,2.0,10.71134,106.6936,8.13167257069548,11.940038407105884,4487.0,0,0,0,0,0,0,16.194254504351907,80.53710719857365,11.93559170938266,7.484733675061288,10.0,7.236398779420901,2.803360380906535
125.0,6.0,8.0,2.0,2.0,10.7494262616914,106.730312928557,17.789285714287892,15.384762008592112,266.7,0,0,0,0,0,0,16.92110682805584,7.375328083989502,0.0,92.60967379077616,66.0,4.349127196501093,3.258096538021482
100.0,4.0,10.0,2.0,0.0,10.8328743389849,106.732240726725,15.481076923082806,14.38454090192419,,0,1,1,0,0,0,18.443583964447228,,,,8.0,7.18078043454607,2.5416019934645457
119.0,4.0,31.0,2.0,0.0,10.8308993512524,106.705695056431,18.827244701348747,16.235786822236673,36014.6,0,0,0,1,0,1,18.82604943532088,12.228623946954848,87.7714871191128,0.0,12.0,6.12512635643201,3.039749158970765
90.0,4.0,16.0,2.0,1.0,10.7373933880674,106.70656637554,17.789285714287892,38.648165438144154,,0,0,0,0,1,0,23.027789174796055,,,,16.0,4.334193472000742,2.970414465569701
48.0,2.0,8.0,2.0,2.0,10.7477470964608,106.715999242248,17.789285714287892,10.925483780294378,58.3,1,1,0,0,0,0,17.005840922328282,29.00514579759863,0.0,71.08061749571183,4.0,3.5381552817964055,1.791759469228055
60.0,2.0,15.0,0.0,1.0,10.879043,106.55251,15.203811516710664,9.804078497114617,34049.8,0,0,1,1,1,1,19.567814035088464,0.0,10.637712996845796,0.0,8.0,19.865558003385125,2.104134154270207
50.0,3.0,5.0,2.0,2.0,10.6928770668793,106.740810400381,8.13167257069548,7.42361482511043,3078.9,0,0,0,0,0,1,8.354716452845052,90.07047971678196,0.0,9.929195491896458,9.0,10.21035366433824,1.7561322915849038
98.0,5.0,6.0,2.0,2.0,10.8321778907289,106.638803087541,11.098013468192365,20.454141463799196,277.5,1,1,1,0,0,0,15.295423052319157,72.27387387387387,0.0,27.718918918918924,11.0,9.236874266326245,2.5257286443082556
133.0,4.0,14.0,1.0,0.0,10.7787072350501,106.654559216834,19.38917355371904,24.57074925894742,538.7,0,0,1,0,0,1,22.049006963462872,98.82494895117875,0.0,0.0,17.0,5.09272137323354,3.214867803470662
61.0,2.0,7.5,2.0,0.0,10.7262516703306,106.733568547539,17.789285714287892,8.631667515460695,246.5,0,0,0,0,0,1,8.354716452845052,0.0,0.0,100.0,5.0,6.571251471911575,1.9685099809725544
141.0,4.0,16.0,2.0,2.0,10.8108234878693,106.666371295388,19.38917355371904,20.91861042068099,110.4,0,0,0,0,0,0,35.04754431090973,5.172101449275361,0.0,94.8460144927536,9.0,5.420637529281509,3.1780538303479458
52.0,4.0,6.0,2.0,2.0,10.6846850748236,106.750129064134,8.13167257069548,7.42361482511043,,1,1,1,0,0,0,9.190783471876616,,,,9.0,11.47999886459786,2.0412203288596382
170.0,3.0,10.8,2.0,0.0,10.8032920034063,106.800453822888,19.05373796668013,23.448246427193133,,0,0,0,0,0,1,20.970560494556636,,,,11.0,11.268659282549418,2.970414465569701
